[03-Apr-2025 22:31:05 UTC] PHP Warning:  Undefined array key "host" in /workspaces/Minora/.wordpress/wp-includes/pluggable.php on line 1625
[03-Apr-2025 23:44:27 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:30 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:30 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:30 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[03-Apr-2025 23:44:30 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 50
[03-Apr-2025 23:44:36 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:44:47 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:44:47 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:44:47 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:44:56 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:44:57 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:44:58 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:45:08 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:45:09 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:45:18 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:45:27 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:45:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:45:33 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:45:38 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:45:39 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:46:09 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:47:05 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:47:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:47:39 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:47:40 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:47:50 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:47:50 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:48:01 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:48:01 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:48:27 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:48:32 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 22
[03-Apr-2025 23:48:34 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 22
[03-Apr-2025 23:49:31 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:51:46 UTC] PHP Warning:  include_once(/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php): Failed to open stream: No such file or directory in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:51:46 UTC] PHP Warning:  include_once(): Failed opening '/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php' for inclusion (include_path='.:') in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:52:08 UTC] PHP Warning:  include_once(/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php): Failed to open stream: No such file or directory in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:52:08 UTC] PHP Warning:  include_once(): Failed opening '/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php' for inclusion (include_path='.:') in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:52:08 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Minora/.wordpress/wp-settings.php:526) in /workspaces/Minora/.wordpress/wp-admin/includes/misc.php on line 1438
[03-Apr-2025 23:52:08 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Minora/.wordpress/wp-settings.php:526) in /workspaces/Minora/.wordpress/wp-includes/functions.php on line 7137
[03-Apr-2025 23:52:08 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 32768 bytes) in /workspaces/Minora/.wordpress/wp-admin/includes/dashboard.php on line 1499
[03-Apr-2025 23:52:11 UTC] PHP Warning:  include_once(/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php): Failed to open stream: No such file or directory in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:52:11 UTC] PHP Warning:  include_once(): Failed opening '/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php' for inclusion (include_path='.:') in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:52:13 UTC] PHP Warning:  include_once(/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php): Failed to open stream: No such file or directory in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:52:13 UTC] PHP Warning:  include_once(): Failed opening '/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php' for inclusion (include_path='.:') in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:52:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Minora/.wordpress/wp-settings.php:526) in /workspaces/Minora/.wordpress/wp-admin/includes/misc.php on line 1438
[03-Apr-2025 23:52:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Minora/.wordpress/wp-settings.php:526) in /workspaces/Minora/.wordpress/wp-includes/functions.php on line 7137
[03-Apr-2025 23:52:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Minora/.wordpress/wp-settings.php:526) in /workspaces/Minora/.wordpress/wp-admin/admin-header.php on line 9
[03-Apr-2025 23:52:13 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 4096 bytes) in /workspaces/Minora/.wordpress/wp-includes/class-wp-theme-json.php on line 4298
[03-Apr-2025 23:52:16 UTC] PHP Warning:  include_once(/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php): Failed to open stream: No such file or directory in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:52:16 UTC] PHP Warning:  include_once(): Failed opening '/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php' for inclusion (include_path='.:') in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:52:17 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Minora/.wordpress/wp-settings.php:526) in /workspaces/Minora/.wordpress/wp-admin/includes/misc.php on line 1438
[03-Apr-2025 23:52:17 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Minora/.wordpress/wp-settings.php:526) in /workspaces/Minora/.wordpress/wp-includes/functions.php on line 7137
[03-Apr-2025 23:52:17 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 32768 bytes) in /workspaces/Minora/.wordpress/wp-admin/includes/dashboard.php on line 1499
[03-Apr-2025 23:53:00 UTC] PHP Warning:  include_once(/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php): Failed to open stream: No such file or directory in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:53:00 UTC] PHP Warning:  include_once(): Failed opening '/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php' for inclusion (include_path='.:') in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:53:15 UTC] PHP Warning:  include_once(/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php): Failed to open stream: No such file or directory in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:53:15 UTC] PHP Warning:  include_once(): Failed opening '/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php' for inclusion (include_path='.:') in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:53:15 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Minora/.wordpress/wp-settings.php:526) in /workspaces/Minora/.wordpress/wp-includes/pluggable.php on line 1435
[03-Apr-2025 23:53:15 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Minora/.wordpress/wp-settings.php:526) in /workspaces/Minora/.wordpress/wp-includes/pluggable.php on line 1438
[03-Apr-2025 23:53:29 UTC] PHP Warning:  include_once(/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php): Failed to open stream: No such file or directory in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[03-Apr-2025 23:53:29 UTC] PHP Warning:  include_once(): Failed opening '/workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/ecommerce-product-catalog.php' for inclusion (include_path='.:') in /workspaces/Minora/.wordpress/wp-settings.php on line 526
[04-Apr-2025 00:10:57 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/Minora/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[04-Apr-2025 00:27:06 UTC] PHP Warning:  Attempt to read property "ID" on null in /workspaces/Minora/.wordpress/wp-includes/rest-api/endpoints/class-wp-rest-autosaves-controller.php on line 167
[04-Apr-2025 00:27:06 UTC] PHP Warning:  Attempt to read property "ID" on null in /workspaces/Minora/.wordpress/wp-includes/rest-api/endpoints/class-wp-rest-autosaves-controller.php on line 167
[04-Apr-2025 00:28:12 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:14 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[04-Apr-2025 00:28:25 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:25 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:34 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:35 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:44 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:45 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:47 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:48 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:48 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:48 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:49 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:50 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:50 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:50 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:50 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:53 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:28:54 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:29:04 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:29:04 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[04-Apr-2025 00:29:07 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
